rfp_id,file_name,format,status,uploaded_by,uploaded_at,extraction_id,client_name,industry
413a42bc-6ec8-43d4-a5d2-888b11560b5c,RFP_Beacon_Systems_LLC_202511.docx,DOCX,PRICED,00000000-0000-0000-0000-000000000003,2025-11-02T03:03:00,741637cd-58ac-4a9d-bd5e-19673e3504c7,Beacon Systems LLC,Travel & Hospitality
d02efa4d-f0c4-4937-ae89-a0a65e3d6e80,RFP_Nexus_Retail_Group_202602.pdf,PDF,COMPLETED,00000000-0000-0000-0000-000000000008,2026-02-01T20:11:00,3ca08d8a-42b4-410b-a723-f3eafb893e24,Nexus Retail Group,Media & Entertainment
eb674592-645d-4f1b-b950-ac3086e5550d,RFP_Crescent_Industries_Holdings_202512.pdf,PDF,COMPLETED,00000000-0000-0000-0000-00000000000e,2025-12-22T23:28:00,a5e6abee-1a82-4e98-8000-5ae3f00124f8,Crescent Industries Holdings,Technology
f5db34cc-f7c8-473c-b9f7-a1159d0d946b,RFP_Horizon_Dynamics_Ltd_202508.docx,DOCX,EXTRACTED,00000000-0000-0000-0000-000000000003,2025-08-02T06:50:00,d2e34a49-46f3-4b72-aa6b-32a356e4f4b8,Horizon Dynamics Ltd,Healthcare
663f12f4-8de1-4b0e-a8f6-c3301d638025,RFP_North_Networks_Corp_202509.docx,DOCX,COMPLETED,00000000-0000-0000-0000-000000000009,2025-09-24T11:33:00,bd102ddc-22c2-4e9a-8cf5-831e7acf20eb,North Networks Corp,Legal
4ea139c9-e5e4-4442-9b01-b7d178917e59,RFP_Vertex_Energy_Holdings_202508.pdf,PDF,COMPLETED,00000000-0000-0000-0000-000000000002,2025-08-20T14:26:00,135f712e-9195-4282-bfa8-723d9dfe9e5e,Vertex Energy Holdings,Travel & Hospitality
33a3020c-bdab-486c-890b-6b5fda5973e5,RFP_Crescent_Retail_Inc_202506.docx,DOCX,COMPLETED,00000000-0000-0000-0000-000000000018,2025-06-25T01:18:00,a21f4b78-be0c-4f6b-a943-9f96c4671509,Crescent Retail Inc,Education
56e10717-6725-43c0-9003-fd99789d3a5c,RFP_Fortress_Technologies_Corp_202506.pdf,PDF,EXTRACTED,00000000-0000-0000-0000-000000000001,2025-06-21T01:02:00,81c81d1e-eb87-49c9-9d99-6ff17717fcf4,Fortress Technologies Corp,Media & Entertainment
bc112d93-35f1-4c33-8f7d-d245d980a886,RFP_Fortress_Partners_Corp_202603.pdf,PDF,COMPLETED,00000000-0000-0000-0000-000000000006,2026-03-24T18:14:00,087a574b-8b15-4ef3-a096-6e9fc7ce5966,Fortress Partners Corp,Technology
501ec107-8cd7-4bac-933b-81ce7249f12f,RFP_Orion_Industries_Group_202508.pdf,PDF,COMPLETED,00000000-0000-0000-0000-000000000009,2025-08-28T14:58:00,2acc2292-36c6-4f75-ad9a-61d0e43a8349,Orion Industries Group,Education
e8520a96-06ae-4832-a2db-46efdc4be498,RFP_North_Pharma_International_202509.pdf,PDF,APPROVED,00000000-0000-0000-0000-000000000008,2025-09-04T00:47:00,f3e7cc2e-6134-4183-affd-489858d4b594,North Pharma International,Education
4920e063-9913-4eb3-98d7-e4a383783eb9,RFP_Atlas_Finance_Corp_202511.excel,EXCEL,COMPLETED,00000000-0000-0000-0000-000000000008,2025-11-07T22:07:00,e5f1d345-d27d-4f52-902f-0d2e7c14dc23,Atlas Finance Corp,Manufacturing
4ae30f41-9167-412b-a217-894cee768756,RFP_Fortress_Technologies_LLC_202603.pdf,PDF,COMPLETED,00000000-0000-0000-0000-000000000002,2026-03-08T16:12:00,6b31cf85-8409-4c43-86ca-bde11b736973,Fortress Technologies LLC,Manufacturing
a9b01b5b-d380-4a69-a62b-a6cb972bd9d5,RFP_Summit_Dynamics_International_202512.docx,DOCX,EXTRACTED,00000000-0000-0000-0000-000000000014,2025-12-27T05:49:00,d5d6b1bf-e77a-48c2-8218-283bd6841805,Summit Dynamics International,Automotive
986baff3-63fe-4666-a295-c7c939f0fbfe,RFP_Nexus_Ventures_Inc_202511.docx,DOCX,PRICED,00000000-0000-0000-0000-000000000016,2025-11-25T04:17:00,992c1466-a514-41e1-afdf-c236851de82f,Nexus Ventures Inc,Financial Services
0ce0a0ad-671d-41d5-84f5-18d0e776edfb,RFP_Sterling_Media_Group_202511.docx,DOCX,COMPLETED,00000000-0000-0000-0000-000000000019,2025-11-11T18:38:00,bbf5eee0-2cf1-4c37-91ec-334bd0de6dcf,Sterling Media Group,E-commerce
2adc676f-2e7c-45cc-b10e-386df07d5622,RFP_Parallel_Analytics_Corp_202508.pdf,PDF,EXTRACTED,00000000-0000-0000-0000-000000000014,2025-08-13T14:58:00,08a71444-85ca-4461-aea7-05643d0e126e,Parallel Analytics Corp,Government
91aa2254-e0e9-4201-8972-0afa9acf5a7c,RFP_Crescent_Finance_Group_202506.docx,DOCX,PRICED,00000000-0000-0000-0000-000000000014,2025-06-08T06:59:00,2beaf642-e4d8-4908-b788-008eb881594e,Crescent Finance Group,Automotive
644ac960-a0ab-4fb7-bebb-f7b353485e5f,RFP_Parallel_Ventures_PLC_202506.pdf,PDF,PRICED,00000000-0000-0000-0000-00000000000e,2025-06-24T18:55:00,dd2278ba-ec96-45cf-aaee-afe4a018d6a5,Parallel Ventures PLC,Legal
4458370b-2911-4a87-8ba1-cebad04702c1,RFP_Vertex_Finance_LLC_202506.docx,DOCX,COMPLETED,00000000-0000-0000-0000-000000000001,2025-06-18T02:52:00,4bade2a8-5c18-4e2c-82fd-f899a98fece1,Vertex Finance LLC,Government
aa9abd09-b043-4307-92ed-399c3f797d21,RFP_North_Analytics_PLC_202601.pdf,PDF,COMPLETED,00000000-0000-0000-0000-00000000000a,2026-01-07T05:06:00,c8e198fd-de1e-462d-bf96-81b8b143d5f9,North Analytics PLC,E-commerce
353502c8-9fab-498e-b2a0-c997241c03a5,RFP_Nexus_Pharma_Holdings_202510.excel,EXCEL,EXTRACTED,00000000-0000-0000-0000-000000000012,2025-10-17T01:59:00,2892d66d-b421-4205-a11b-3e187f4f321a,Nexus Pharma Holdings,Life Sciences
a29b9bee-5986-43d4-aa55-f6502407f0e0,RFP_Cascade_Energy_Inc_202509.docx,DOCX,COMPLETED,00000000-0000-0000-0000-00000000000e,2025-09-27T02:21:00,c23d0091-4238-45c1-9a31-c1bcbf9af05e,Cascade Energy Inc,Travel & Hospitality
b732b85a-8b4d-441d-9afc-b7b66b605034,RFP_Apex_Energy_International_202603.pdf,PDF,EXTRACTED,00000000-0000-0000-0000-000000000011,2026-03-12T16:26:00,cc5417f2-55df-482e-9cc4-3d73902bcb7f,Apex Energy International,Life Sciences
af9c1e4b-1003-451f-8187-dd12433a007d,RFP_North_Technologies_LLC_202507.docx,DOCX,COMPLETED,00000000-0000-0000-0000-000000000012,2025-07-10T11:16:00,63479097-0f16-40d6-b359-91b8940fbce0,North Technologies LLC,Media & Entertainment
1ee1f54e-5e33-4b83-9353-8a92587037dd,RFP_Pinnacle_Partners_PLC_202510.excel,EXCEL,COMPLETED,00000000-0000-0000-0000-000000000009,2025-10-28T23:44:00,1314cb8d-614a-466d-b85c-1ec493c070ec,Pinnacle Partners PLC,E-commerce
36ce9f84-846e-41ea-b840-5b302bc9bb33,RFP_Horizon_Pharma_Inc_202603.pdf,PDF,COMPLETED,00000000-0000-0000-0000-000000000018,2026-03-02T19:40:00,a0a32cda-49a8-4f64-a9cf-9120899f814c,Horizon Pharma Inc,E-commerce
03f366c4-4070-43df-a39b-1cc9e3b4c156,RFP_Meridian_Health_Holdings_202601.pdf,PDF,COMPLETED,00000000-0000-0000-0000-000000000013,2026-01-11T23:44:00,499902c0-522a-4e6a-983e-9bfce1eecab1,Meridian Health Holdings,Healthcare
