deal_id,rfp_id,overhead_pct,margin_pct,status,created_by,created_at,approved_by,approved_at
6a8a3359-19d7-4702-bb5d-5abb6bb98481,413a42bc-6ec8-43d4-a5d2-888b11560b5c,0.085,0.207,DRAFT,00000000-0000-0000-0000-000000000003,2025-11-03T03:03:00,,
aa3b9fdd-a47c-4579-a402-16db3f54781f,d02efa4d-f0c4-4937-ae89-a0a65e3d6e80,0.098,0.216,SUBMITTED,00000000-0000-0000-0000-000000000008,2026-02-04T20:11:00,00000000-0000-0000-0000-00000000001a,2026-02-08T20:11:00
ba32e251-2218-4533-b543-27ff13740c81,eb674592-645d-4f1b-b950-ac3086e5550d,0.119,0.232,SUBMITTED,00000000-0000-0000-0000-00000000000e,2025-12-24T23:28:00,00000000-0000-0000-0000-000000000022,2025-12-25T23:28:00
4d83ad04-894a-4b3d-9e00-040017d417c5,663f12f4-8de1-4b0e-a8f6-c3301d638025,0.112,0.338,SUBMITTED,00000000-0000-0000-0000-000000000009,2025-09-27T11:33:00,00000000-0000-0000-0000-000000000023,2025-09-29T11:33:00
cb4690e8-5202-4ce1-aa23-9e69e87fb537,4ea139c9-e5e4-4442-9b01-b7d178917e59,0.117,0.257,SUBMITTED,00000000-0000-0000-0000-000000000002,2025-08-23T14:26:00,00000000-0000-0000-0000-00000000001b,2025-08-24T14:26:00
c70a0bbe-5f3d-4d47-abf3-7f35eb7d1327,33a3020c-bdab-486c-890b-6b5fda5973e5,0.119,0.147,SUBMITTED,00000000-0000-0000-0000-000000000018,2025-06-27T01:18:00,00000000-0000-0000-0000-00000000001a,2025-06-29T01:18:00
e99400f5-7519-4fd2-b583-48f0de2449c3,bc112d93-35f1-4c33-8f7d-d245d980a886,0.126,0.27,SUBMITTED,00000000-0000-0000-0000-000000000006,2026-03-28T18:14:00,00000000-0000-0000-0000-00000000001e,2026-03-30T18:14:00
364e1956-e30a-4b8f-8e22-8026ba9f586c,501ec107-8cd7-4bac-933b-81ce7249f12f,0.114,0.131,SUBMITTED,00000000-0000-0000-0000-000000000009,2025-08-30T14:58:00,00000000-0000-0000-0000-00000000001b,2025-08-31T14:58:00
88962493-898f-406f-a595-17dde0ae739d,e8520a96-06ae-4832-a2db-46efdc4be498,0.099,0.171,APPROVED,00000000-0000-0000-0000-000000000008,2025-09-05T00:47:00,00000000-0000-0000-0000-00000000001b,2025-09-09T00:47:00
e0e8d17a-4313-4966-9539-b41f4a345209,4920e063-9913-4eb3-98d7-e4a383783eb9,0.099,0.226,SUBMITTED,00000000-0000-0000-0000-000000000008,2025-11-11T22:07:00,00000000-0000-0000-0000-00000000001f,2025-11-15T22:07:00
d83a577d-7bac-4af0-9e92-fdcf763bbd08,4ae30f41-9167-412b-a217-894cee768756,0.109,0.198,SUBMITTED,00000000-0000-0000-0000-000000000002,2026-03-09T16:12:00,00000000-0000-0000-0000-00000000001d,2026-03-11T16:12:00
f803474e-bbfe-4333-a4e3-39f19a3712ce,986baff3-63fe-4666-a295-c7c939f0fbfe,0.124,0.235,DRAFT,00000000-0000-0000-0000-000000000016,2025-11-30T04:17:00,,
9439acdf-c62f-44e5-b2aa-f694718ff805,0ce0a0ad-671d-41d5-84f5-18d0e776edfb,0.091,0.225,SUBMITTED,00000000-0000-0000-0000-000000000019,2025-11-16T18:38:00,00000000-0000-0000-0000-000000000023,2025-11-18T18:38:00
